ticker,name,sector,industry,index,sector_etf
AR,Antero Resources,Energy,Oil & Gas Exploration & Production,sp400,XLE
ARMK,Aramark,Consumer Discretionary,Distributors,sp400,XLY
ARW,Arrow Electronics,Information Technology,Technology Distributors,sp400,XLK
ARWR,Arrowhead Pharmaceuticals,Health Care,Biotechnology,sp400,XLV
ASB,Associated Bank,Financials,Regional Banks,sp400,XLF
ASH,Ashland Global,Materials,Diversified Chemicals,sp400,XLB
ATI,ATI Inc.,Industrials,Aerospace & Defense,sp400,XLI
ATR,AptarGroup,Materials,"Metal, Glass & Plastic Containers",sp400,XLB
AVAV,AeroVironment,Industrials,Aerospace & Defense,sp400,XLI
AVNT,Avient,Materials,Specialty Chemicals,sp400,XLB
AVT,Avnet,Information Technology,Technology Distributors,sp400,XLK
AVTR,Avantor,Health Care,Life Sciences Tools & Services,sp400,XLV
AXTA,Axalta,Materials,Specialty Chemicals,sp400,XLB
AYI,Acuity Brands,Industrials,Electrical Components & Equipment,sp400,XLI
BAH,Booz Allen Hamilton,Industrials,Research & Consulting Services,sp400,XLI
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,sp400,XLY
BC,Brunswick,Consumer Discretionary,Leisure Products,sp400,XLY
BCO,Brink's,Industrials,Security & Alarm Services,sp400,XLI
BDC,Belden Inc.,Information Technology,Electronic Components,sp400,XLK
BHF,Brighthouse Financial,Financials,Life & Health Insurance,sp400,XLF
BILL,Bill Holdings,Information Technology,Application Software,sp400,XLK
BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,sp400,XLV
BJ,BJ's Wholesale Club,Consumer Staples,Consumer Staples Merchandise Retail,sp400,XLP
BKH,Black Hills Corporation,Utilities,Multi-Utilities,sp400,XLU
BMRN,BioMarin Pharmaceutical,Health Care,Biotechnology,sp400,XLV
BRKR,Bruker,Health Care,Health Care Equipment,sp400,XLV
BROS,Dutch Bros Inc.,Consumer Discretionary,Restaurants,sp400,XLY
BRX,Brixmor Property Group,Real Estate,Retail REITs,sp400,XLRE
BSY,Bentley Systems,Information Technology,Application Software,sp400,XLK
BTSG,BrightSpring Health Services,Health Care,Health Care Services,sp400,XLV
BURL,Burlington Stores,Consumer Discretionary,Apparel Retail,sp400,XLY
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,sp400,XLY
BWXT,BWX Technologies,Industrials,Aerospace & Defense,sp400,XLI
BYD,Boyd Gaming,Consumer Discretionary,Casinos & Gaming,sp400,XLY
CACI,CACI International,Industrials,Diversified Support Services,sp400,XLI
CAR,Avis Budget Group,Industrials,Passenger Ground Transportation,sp400,XLI
CART,Maplebear Inc.,Consumer Staples,Food Retail,sp400,XLP
CAVA,Cava Group,Consumer Discretionary,Restaurants,sp400,XLY
CBSH,Commerce Bancshares,Financials,Regional Banks,sp400,XLF
CBT,Cabot Corp,Materials,Diversified Chemicals,sp400,XLB
CCK,Crown Holdings,Materials,Paper & Plastic Packaging Products & Materials,sp400,XLB
CDE,Coeur Mining,Materials,Gold,sp400,XLB
CDP,COPT Defense Properties,Real Estate,Office REITs,sp400,XLRE
CELH,Celsius Holdings,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,sp400,XLP
CFR,Frost Bank,Financials,Regional Banks,sp400,XLF
CG,Carlyle Group (The),Financials,Asset Management & Custody Banks,sp400,XLF
CGNX,Cognex,Information Technology,Electronic Equipment & Instruments,sp400,XLK
CHDN,Churchill Downs Inc.,Consumer Discretionary,Casinos & Gaming,sp400,XLY
CHE,Chemed Corp.,Health Care,Health Care Services,sp400,XLV
