rule,horizon_m,n,median_ret,mean_ret,pct_positive,p25_ret,p75_ret,median_excess_spy,pct_beat_spy,median_excess_sector,pct_beat_sector,median_max_dd_36m,pct_recovered_36m,median_months_to_recover
first_oversold,6,1147,0.13929160995608014,0.16893806514491125,0.7070619006102877,-0.034787214083830176,0.31930939107097245,0.004235550781154673,0.5074106364428945,0.0220068873792012,0.5311676909569798,,,
first_oversold,12,1096,0.336640076404506,0.5133111457389319,0.7718978102189781,0.030332783870320956,0.7006256412840666,0.10193378616118887,0.6003649635036497,0.08689227567470237,0.6038602941176471,,,
first_oversold,24,998,0.550624852927301,0.9591910708869121,0.8236472945891784,0.13390566249729974,1.028663237768075,0.07624194148553476,0.5531062124248497,0.08357313601281557,0.5676767676767677,,,
first_oversold,36,922,0.6183333515524981,1.2548206863132145,0.834056399132321,0.18753785463056272,1.2379561998938526,0.06580065111682065,0.527114967462039,0.1177675978180972,0.5689277899343544,-0.10480905732349349,0.9815618221258134,1.0
first_oversold | dd>40%,6,940,0.14695225359144182,0.1801297110444524,0.698936170212766,-0.04151481912193963,0.34168442937957355,0.005925674993429442,0.5095744680851064,0.0224480085976968,0.5288461538461539,,,
first_oversold | dd>40%,12,896,0.3736912587069614,0.5679056894816359,0.7678571428571429,0.02811224898093012,0.7809354310998161,0.11452137589760936,0.6138392857142857,0.10852367192224044,0.6143497757847534,,,
first_oversold | dd>40%,24,813,0.6180030600836885,1.0885787266020668,0.8191881918819188,0.1363252769977108,1.2182713993963503,0.12190445638555625,0.5645756457564576,0.10297861993728175,0.5747836835599506,,,
first_oversold | dd>40%,36,748,0.6945904675154727,1.4313493663163892,0.8409090909090909,0.21772403894198972,1.333557254781526,0.11370391626585563,0.5481283422459893,0.15264481975770916,0.5793010752688172,-0.11574016753764182,0.9866310160427807,1.0
first_oversold | dd<40%,6,207,0.11533662885286522,0.11811609825810593,0.7439613526570048,-0.008564200012220524,0.26177532571457063,-0.0013205376197744645,0.4975845410628019,0.016114373726580533,0.541871921182266,,,
first_oversold | dd<40%,12,200,0.27119989047571713,0.26872758977161765,0.79,0.036446425075298994,0.4645128778278368,0.03731280000973192,0.54,0.04040773876939113,0.5561224489795918,,,
first_oversold | dd<40%,24,185,0.3827416991818915,0.39058477847382783,0.8432432432432433,0.12990322414407252,0.6747383066553212,0.004252674787226685,0.5027027027027027,0.008175811681190748,0.5359116022099447,,,
first_oversold | dd<40%,36,174,0.504633708374209,0.495950268828302,0.8045977011494253,0.09175618599889013,0.8436959538286504,-0.08455721360239377,0.4367816091954023,0.037716010565680747,0.5235294117647059,-0.07589870743284455,0.9597701149425287,1.0
rsi_recovery,6,1113,0.11517757946181728,0.163797099339723,0.6729559748427673,-0.06374166282827942,0.29482427528937927,0.021160076006909057,0.5363881401617251,0.019717292335197978,0.5459459459459459,,,
rsi_recovery,12,1076,0.2660951006558526,0.42087203631137815,0.7434944237918215,-0.014106423225817899,0.5997401913098428,0.041104949864390505,0.5427509293680297,0.03503593231944779,0.5396085740913327,,,
rsi_recovery,24,991,0.4079696487157032,0.7477807750600831,0.7911200807265388,0.07091279824128083,0.8342459989293792,0.04506806322493295,0.5317860746720484,0.048596091717201806,0.5445344129554656,,,
rsi_recovery,36,907,0.46428743180952337,0.9134182815176205,0.7960308710033076,0.07629102941723764,0.9961536040076079,-0.02487211505346809,0.4829106945975744,0.026809606930060847,0.5165929203539823,-0.13501675561754678,0.9768467475192943,1.0
rsi_recovery | dd>40%,6,910,0.11585024772044639,0.1788825878994612,0.6637362637362637,-0.06671600940602765,0.3161133484275007,0.01972454203570384,0.5307692307692308,0.01770255080603289,0.5451541850220264,,,
rsi_recovery | dd>40%,12,878,0.2896630753029915,0.4659502457373637,0.7369020501138952,-0.021226053613433687,0.669275485047001,0.05378173397619812,0.5489749430523918,0.04243823349539522,0.5422374429223744,,,
rsi_recovery | dd>40%,24,806,0.4432031731110737,0.84690098255651,0.7853598014888338,0.06814956454692339,0.9647757218847739,0.07422284036050453,0.5421836228287841,0.06486145694931111,0.5472636815920398,,,
rsi_recovery | dd>40%,36,734,0.4866823746798338,1.0333889924503414,0.7997275204359673,0.09644015179627091,1.0988379485395727,-0.004829200992827687,0.49727520435967304,0.035835172569765206,0.5218579234972678,-0.1445928528749305,0.9782016348773842,1.0
rsi_recovery | dd<40%,6,203,0.11463848535135535,0.09617249545124144,0.7142857142857143,-0.030393998260596633,0.22044663562567546,0.024846852150921972,0.5615763546798029,0.020687238826918808,0.5495049504950495,,,
rsi_recovery | dd<40%,12,198,0.22359722499090817,0.22097977431130034,0.7727272727272727,0.029788022818767412,0.40019385888930287,0.010918314926688155,0.5151515151515151,0.022959610131038533,0.5279187817258884,,,
rsi_recovery | dd<40%,24,185,0.3173370625968619,0.31593814131889425,0.8162162162162162,0.07515649045346562,0.5644996688240473,-0.011955322866249674,0.4864864864864865,0.028210269269783206,0.532608695652174,,,
rsi_recovery | dd<40%,36,173,0.38641922707834,0.4044096004504696,0.7803468208092486,0.049313334119619245,0.6988169444941987,-0.11989625483893374,0.42196531791907516,-0.0013328668631953366,0.4941860465116279,-0.08716850645122709,0.9710982658959537,1.0
rsi_recovery40,6,1093,0.1314607881564669,0.22019908015862197,0.7026532479414456,-0.043606438581301865,0.3188853998160308,0.03285542025034616,0.576395242451967,0.026179676129596485,0.5651376146788991,,,
rsi_recovery40,12,1049,0.2365069006696907,0.43856237708199214,0.7368922783603432,-0.016171138415870145,0.5311175329249553,0.01266626811581184,0.5252621544327931,0.017838182483530085,0.5152963671128107,,,
rsi_recovery40,24,985,0.39135393443327793,0.6420032988590024,0.7857868020304568,0.05502307407594276,0.7606251124772874,0.03026477473876743,0.5269035532994923,0.038330105762030664,0.5315682281059063,,,
rsi_recovery40,36,871,0.43743022480726834,0.7606629859523104,0.7864523536165328,0.07403415820622472,0.9428114092902892,-0.03969744668660735,0.4707233065442021,-0.008192658219998816,0.49078341013824883,-0.13130352848600602,0.9701492537313433,1.0
rsi_recovery40 | dd>40%,6,892,0.13701081076157695,0.2438996575067129,0.6827354260089686,-0.06139120525673644,0.34383244060762946,0.031826562159382066,0.570627802690583,0.02283471107334778,0.5550561797752809,,,
rsi_recovery40 | dd>40%,12,857,0.2500000296540523,0.49055643108869473,0.7316219369894983,-0.023018816706709577,0.5871354554979873,0.022474934337261443,0.5332555425904317,0.02224731032803917,0.52046783625731,,,
rsi_recovery40 | dd>40%,24,800,0.40745830034985175,0.7216675604302957,0.78375,0.05393091490400592,0.8510682716429888,0.05602118582838411,0.535,0.047359110893067324,0.5375939849624061,,,
rsi_recovery40 | dd>40%,36,702,0.45808106404392634,0.8421321446261831,0.7891737891737892,0.08387302622763076,1.0206853288751634,-0.024483863418724106,0.48575498575498577,-0.009346100558867976,0.4942857142857143,-0.15035497400686315,0.9672364672364673,1.0
rsi_recovery40 | dd<40%,6,201,0.12636611896458994,0.11502039859395959,0.7910447761194029,0.010626657680943508,0.21179925486965212,0.033016765265089676,0.6019900497512438,0.02680420243059678,0.61,,,
rsi_recovery40 | dd<40%,12,192,0.19776344288906422,0.2064847506041582,0.7604166666666666,0.024548720490621623,0.36310887160921407,-0.0038996724731572563,0.4895833333333333,-0.010822991559661155,0.49214659685863876,,,
rsi_recovery40 | dd<40%,24,185,0.27787805112535047,0.29750919476692383,0.7945945945945946,0.06229196202840792,0.5644430025184699,-0.006052683212099952,0.4918918918918919,0.00723410728417484,0.5054347826086957,,,
rsi_recovery40 | dd<40%,36,169,0.3876017524027533,0.42225263453776213,0.7751479289940828,0.05104414615999486,0.7134065040604116,-0.10609916763676686,0.40828402366863903,-0.008192658219998816,0.47619047619047616,-0.08697327078651007,0.9822485207100592,1.0
baseline_all_months,6,131253,0.06742844156895389,0.09770104332950566,0.6467433125338088,-0.05471319549042719,0.1961277076698389,-0.00502440717354069,0.48812598569175564,0.002942718655209786,0.5078291564816044,,,
baseline_all_months,12,125871,0.12904825047881063,0.2047434981293718,0.6864408799485188,-0.04891708645103132,0.32581050093830244,-0.01381571292000705,0.4782515432466573,0.0016363152792251423,0.5028329189255288,,,
baseline_all_months,24,115158,0.2563866152618822,0.4176663530378431,0.7538338630403446,0.00450822634807202,0.5593808544754119,-0.029652247886389094,0.46955487243613125,-0.0012106412301434721,0.4986244104616264,,,
baseline_all_months,36,104567,0.39623465772389843,0.6381445527811999,0.8030353744489179,0.07821515879100294,0.7914641928023034,-0.0530968177321931,0.45826121051574586,-0.0006958904589504655,0.4992354061226705,-0.12440038605910786,0.9765222297665611,1.0
